name,year,month,day,hour,lat,long,status,category,wind,pressure
Amy,1975,6,27,0,27.5,-79,tropical depression,NA,25,1013
Amy,1975,6,27,6,28.5,-79,tropical depression,NA,25,1013
Amy,1975,6,27,12,29.5,-79,tropical depression,NA,25,1013
Amy,1975,6,27,18,30.5,-79,tropical depression,NA,25,1013
Amy,1975,6,28,0,31.5,-78.8,tropical depression,NA,25,1012
Amy,1975,6,28,6,32.4,-78.7,tropical depression,NA,25,1012
Amy,1975,6,28,12,33.3,-78,tropical depression,NA,25,1011
Amy,1975,6,28,18,34,-77,tropical depression,NA,30,1006
Amy,1975,6,29,0,34.4,-75.8,tropical storm,NA,35,1004
Amy,1975,6,29,6,34,-74.8,tropical storm,NA,40,1002
Amy,1975,6,29,12,33.8,-73.8,tropical storm,NA,45,1000
Amy,1975,6,29,18,33.8,-72.8,tropical storm,NA,50,998
Amy,1975,6,30,0,34.3,-71.6,tropical storm,NA,50,998
Amy,1975,6,30,6,35.6,-70.8,tropical storm,NA,55,998
Amy,1975,6,30,12,35.9,-70.5,tropical storm,NA,60,987
Amy,1975,6,30,18,36.2,-70.2,tropical storm,NA,60,987
Amy,1975,7,1,0,36.2,-69.8,tropical storm,NA,60,984
Amy,1975,7,1,6,36.2,-69.4,tropical storm,NA,60,984
Amy,1975,7,1,12,36.2,-68.3,tropical storm,NA,60,984
Amy,1975,7,1,18,36.7,-67.2,tropical storm,NA,60,984
Amy,1975,7,2,0,37.4,-66.7,tropical storm,NA,60,984
Amy,1975,7,2,6,37.3,-65.9,tropical storm,NA,60,984
Amy,1975,7,2,12,37.3,-65.1,tropical storm,NA,60,981
Amy,1975,7,2,18,37.3,-64.1,tropical storm,NA,60,986
Amy,1975,7,3,0,37.7,-62.8,tropical storm,NA,55,986
Amy,1975,7,3,6,38.2,-61.2,tropical storm,NA,55,986
Amy,1975,7,3,12,39.3,-59.6,tropical storm,NA,55,986
Amy,1975,7,3,18,40.5,-58,tropical storm,NA,50,986
Amy,1975,7,4,0,42.5,-54.8,tropical storm,NA,50,986
Amy,1975,7,4,6,44.5,-51.6,tropical storm,NA,50,986
Amy,1975,7,4,12,47,-48,extratropical,NA,45,995
Blanche,1975,7,24,0,26,-68.4,tropical depression,NA,20,1014
Blanche,1975,7,24,6,26,-69.5,tropical depression,NA,20,1014
Blanche,1975,7,24,12,26.1,-70.5,tropical depression,NA,25,1014
Blanche,1975,7,24,18,26.5,-71.5,tropical depression,NA,30,1013
Blanche,1975,7,25,0,27.2,-72.5,tropical depression,NA,30,1012
Blanche,1975,7,25,6,28,-73.6,tropical depression,NA,30,1010
Blanche,1975,7,25,12,28.9,-74.3,tropical depression,NA,30,1007
